BarName,Area,beerRating,cocktailsRating,foodRating,decorRating,parkingRating,proximityRating,noiseRating,patioRating,groupsRating,serviceRating,priceRating,Address,PhoneNumber,YelpWebsite,Website,Description,Image
Public Services Wine & Whiskey,Downtown,2,4,1,4,1,3,4,0,2,3,3,"202 Travis St Suite 100, Houston, TX 77002",(713) 516-8897,http://www.yelp.com/biz/public-services-wine-and-whisky-houston,http://publicservicesbar.com/,Spacious wine & whiskey bar with art deco furnishings in the historic 1884 Cotton Exchange building,http://storage.googleapis.com/zgt-photos/0x8640bf2fc75bfc7d_0x9a59c1bb56bcab51/fd41c43d2920afa35e8e495f6821e0c3.jpg
R Bar,Washington,2,3,3,2,3,1,3,2,3,4,4,"5535 Memorial Dr # J, Houston, TX 77007",(713) 426-4994,http://www.yelp.com/biz/r-bar-houston,http://www.rbarhouston.com/,Friendly neighborhood bar serving beer and spirits catered to sporting events,http://s3-media4.fl.yelpcdn.com/bphoto/Zh5FB7jXLzKDX26PAcKXeg/o.jpg
Reserve 101,Downtown,3,3,3,2,3,2,4,0,4,4,4,"1201 Caroline St, Houston, TX 77002",(713) 655-7101,http://www.yelp.com/biz/reserve-101-houston,http://www.reserve101.com/,"Upscale bar catering to whiskey lovers, with frequent tastings, bar bites & a relaxed vibe",http://365thingsinhouston.com/wp-content/uploads/2014/07/pappy-van-winkle-houston-tasting-reserve-101-july-4-2014.jpg
Revelry on Richmond,Montrose,3,2,3,3,2,3,2,3,4,3,3,"1613 Richmond Ave, Houston, TX 77006",(832) 538-0724,http://www.yelp.com/biz/revelry-on-richmond-houston,http://revelryonrichmond.com/,Sports enthusiasts can catch a game on one of several big TVs while drinking craft brews on tap,"http://res.cloudinary.com/sagacity/image/upload/c_crop,h_427,w_640,x_0,y_0/c_scale,w_1080/v1417446263/1214-best-bars-revelry-on-richmond_ktbbo0.jpg"
Revolver Bourbon Social,Washington,2,4,4,4,3,1,3,5,5,3,4,"6502 Washington Ave, Houston, TX 77007",(713) 862-4555,http://www.yelp.com/biz/revolver-bourbon-social-houston-2,http://www.revolverhouston.com/,"Trendy stop for traditional American pub grub, beer & cocktails with both indoor & patio seating",http://ww4.hdnux.com/photos/42/72/02/9150651/3/rawImage.jpg
Rosemont,Montrose,2,3,3,4,2,2,2,5,3,4,2,"910 Westheimer Rd, Houston, TX 77006",(832) 530-4698,http://www.yelp.com/biz/rosemont-social-club-houston,http://rosemonthouston.com/,"Classy, bi-level venue offering craft cocktails, light bites & an outdoor terrace with cozy cabanas",https://www.drinkadvisor.com/cache/b/b063deb1e88efc42412c702eedcfebe4_1500_1389954196.jpg
Royal Oak,Montrose,3,2,3,3,2,3,2,2,4,3,3,"1318 Westheimer Rd, Houston, TX 77006",(281) 974-4752,http://www.yelp.com/biz/royal-oak-bar-and-grill-houston,http://royaloakhouston.com/,"A relaxed bi-level pub offering upscale bar bites, creative cocktails & a whiskey bar upstairs",http://s3-media2.fl.yelpcdn.com/bphoto/6_KejnPGu38cXAWjiq5vug/o.jpg
Rudyards,Montrose,3,3,4,2,2,2,4,1,4,3,3,"2010 Waugh Dr, Houston, TX 77006",(713) 521-0521,http://www.yelp.com/biz/rudyards-british-pub-houston-4,http://rudyardspub.com/,"Laid-back local hub serving classic grub & lots of beer plus open-mike & music, darts & billiards",http://ww4.hdnux.com/photos/30/64/17/6505427/3/960x540.jpg
Sanctuari,RiverOaks,3,5,5,4,3,1,3,1,2,4,2,"2815 S Shepherd Dr, Houston, TX 77098",(713) 527-9090,http://www.yelp.com/biz/sanctuari-houston,http://www.sanctuaribar.com/,Upscale bar serving craft cocktails located inside Triniti Restaurant,http://static.wixstatic.com/media/7c4e79_5efe4828b698439c8b83f1240416107c.jpg_srz_705_590_85_22_0.50_1.20_0.00_jpg_srz
Shepherd Park,Heights,3,1,4,2,4,2,4,2,2,3,4,"3402 N Shepherd Dr, Houston, TX 77018",(832) 767-1380,http://www.yelp.com/biz/shepherd-park-draught-house-houston,http://www.shepherdparktx.com/,Neighborhood hangout featuring Texas craft beers & updated pub grub amid rock 'n' roll memorabilia,http://images1.houstonpress.com/imager/u/745x420/6801393/7780860.0.jpg
Simone on Sunset,Rice,3,3,4,5,2,2,5,4,2,4,1,"3402 N Shepherd Dr, Houston, TX 77018",(346) 980-8107,http://www.yelp.com/biz/simone-on-sunset-houston,http://www.simoneonsunset.com/,Artsy hideaway serving cocktails & creative bar bites in a loungey setting with a patio,https://cdn2.vox-cdn.com/thumbor/TSYer9YEFUK7O294GA148yZUyWc=/0x50:960x590/1310x737/cdn0.vox-cdn.com/uploads/chorus_image/image/46035424/simone_on_sunset_houston.0.0.jpg
Spare Key,Midtown,2,5,0,4,1,4,5,1,1,4,3,"2416 Brazos St, Houston, TX 77006",(832) 701-1973,http://www.yelp.com/biz/spare-key-houston,http://cookandcollins.com/sparekey/,"Secluded hangout above Cook & Collins restaurant, serving classic & modern cocktails, beer & wine",http://ww1.hdnux.com/photos/36/50/63/8031484/5/920x920.jpg
Springbok,Downtown,3,3,5,3,2,3,2,2,4,2,3,"711 Main St, Houston, TX 77002",(832) 767-5574,http://www.yelp.com/biz/the-springbok-houston,http://www.springbokhouston.com/,Bi-level South African restaurant & sports pub offering a lively spot to dine & catch a rugby match,http://s3-media1.fl.yelpcdn.com/bphoto/ekB2Pr3uRbftUPapzCdfkQ/o.jpg
St Arnolds Brewing Co,Downtown,4,0,4,4,3,1,3,0,4,5,5,"2000 Lyons Ave, Houston, TX 77020",(713) 686-9494,http://www.yelp.com/biz/saint-arnold-brewing-company-houston,http://www.saintarnold.com/,Established craft brewery featuring facility tours & a beer hall serving pints & pub grub for lunch,http://www.saintarnold.com/images/rentals/rental1_lg.jpg
Stone's Throw,Montrose,3,4,3,4,1,4,3,2,3,4,5,"1417 Westheimer Rd, Houston, TX 77006",(832) 659-0265,http://www.yelp.com/biz/stones-throw-houston,http://www.stonesthrowhouston.com/,"This handsome 2-story space features an expansive bar, high ceilings & ornate decor",https://cdn3.vox-cdn.com/thumbor/aK6W9usk3024uUbNH3C5uBmFkMc=/899x600/cdn0.vox-cdn.com/uploads/chorus_asset/file/719662/5DII_5559A.0.jpg
Taps House of Beer,Washington,5,2,3,2,1,3,3,4,3,2,3,"5120 Washington Ave, Houston, TX 77007",(713) 426-1105,http://www.yelp.com/biz/taps-house-of-beer-houston,http://www.tapshouseofbeer.com/,"Big pub featuring scores of craft beers on draft, plus a small menu of bar eats & outdoor seating","https://res-4.cloudinary.com/simpleview/image/fetch/c_limit,f_auto,h_640,q_60,w_800/http://Houston.simpleviewcrm.com/images/listings/original_Taps-2-.jpg"
The Boot,Heights,2,2,3,2,3,2,3,4,4,2,4,"1206 W 20th St, Houston, TX 77008",(713) 869-2668,http://www.yelp.com/biz/the-boot-houston,http://www.thecajunboot.com/,"Airy locale for Louisiana-style bites like boiled crawfish, po' boys, fried seafood & frogs' legs",http://images2.houstonpress.com/imager/u/745x420/7421995/9927252.0.jpg
The FLAT,Montrose,2,2,3,1,2,2,2,3,3,2,2,"1701 Commonwealth St, Houston, TX 77006",(713) 360-7228,http://www.yelp.com/biz/the-flat-houston,http://theflathouston.com/,"Funky, no-frills nightspot with celebrated DJs, a chill lounge area & bar fare in a converted house",http://s3-media4.fl.yelpcdn.com/bphoto/yNd4FedSA47x3KqL2p0DKg/o.jpg
The Hay Merchant,Montrose,5,0,4,3,2,2,2,2,2,3,3,"1100 Westheimer Rd, Houston, TX 77006",(713) 528-9805,http://www.yelp.com/biz/the-hay-merchant-houston,https://www.haymerchant.com/,Vast selection of potent craft beers paired with snacks like gumbo & pig ears in a comfy space,https://www.haymerchant.com/media/uploads/images/.thumbnails/hay_merchant_interior_medium.jpg/hay_merchant_interior_medium-770x450.jpg
The Maple Leaf Pub,Midtown,3,2,3,3,3,2,2,2,3,2,3,"514 Elgin St, Houston, TX 77006",(713) 520-6464,http://www.yelp.com/biz/maple-leaf-pub-houston,http://www.themapleleafpub.com/,Canadian-themed pub & neighborhood watering hole with plenty of hockey action & nightly specials,https://assets3.thrillist.com/v1/image/1588667/size/tl-horizontal_main/what-your-favorite-houston-bar-says-about-you
The Owl Bar,RiverOaks,2,3,0,4,3,1,4,5,4,3,3,"514 Elgin St, Houston, TX 77006",(713) 526-3535,http://www.yelp.com/biz/the-owl-bar-houston-2,http://www.yelp.com/biz/the-owl-bar-houston-2,"Compact hangout with sports on TV, darts, a jukebox & a big wine & beer menu in an easygoing space",http://media.culturemap.com/crop/8b/2e/633x475/Owl-Bar_142551.jpg
The Phoenix,Montrose,4,1,3,2,2,1,3,2,4,3,3,"1915 Westheimer Rd, Houston, TX 77098",(713) 526-3100,http://www.yelp.com/biz/the-phoenix-on-westheimer-houston,http://www.phoenixow.com/,"Neighborhood watering hole with a British vibe, TVs tuned to sports & blackboard dinner specials",http://images2.houstonpress.com/imager/u/original/6517330/5177531.62.jpg
The Refinery,Midtown,4,3,4,2,4,1,3,5,4,3,4,"702 W Dallas St, Houston, TX 77019",(713) 487-0029,http://www.yelp.com/biz/the-refinery-houston,http://refineryburger.com/,"Easygoing spot with big-screen TVs, handcrafted burgers, draft beers & a lengthy whiskey list",http://s3-media1.fl.yelpcdn.com/bphoto/l0vmydWak9PNXLFEukFGLw/o.jpg
Under the Volcano,Rice,2,3,4,3,5,1,4,2,3,4,3,"2349 Bissonnet St, Houston, TX 77005",(713) 526-5282,http://www.yelp.com/biz/under-the-volcano-houston,https://twitter.com/volcanohouston?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Colorful Mexican-inspired hangout with a covered patio & a varied selection of frozen mixed drinks,http://www.foodandwine.com/fwx/sites/default/files/styles/blog_post/public/fwx-best-bars-houston-under-the-volcano.jpg
Underdogs,Washington,5,2,0,2,3,3,4,3,4,5,5,"4212 Washington Ave, Houston, TX 77007",(713) 410-5660,http://www.yelp.com/biz/underdogs-pub-houston,https://www.facebook.com/underdogssportspub,Casual neighborhood spot featuring rotating craft beers and infused cocktails paired with a comfortable patio and bar games,http://media.culturemap.com/crop/9b/69/800x600/Underdogs_Sports_Pubm_bar_January_2013.jpg
Valhalla,Rice,2,2,0,2,2,1,4,4,4,3,5,"6100 Main St, Houston, TX 77005",(713) 348-3258,http://www.yelp.com/biz/valhalla-houston,http://valhalla.rice.edu/,"Set on the Rice University campus, this homey graduate student hangout offers beer & sandwiches",http://ww2.hdnux.com/photos/15/00/74/3411737/3/rawImage.jpg
Voodoo Queen,Downtown,2,4,3,3,4,1,3,1,3,3,4,"322 Milby St, Houston, TX 77003",Not Available,http://www.yelp.com/biz/voodoo-queen-houston,https://www.facebook.com/pages/Voodoo-Queen/565805626788394,"Mural-adorned watering hole with drinks & po' boys plus free jukebox tunes, pool & electronic darts","http://onthegrid3.imgix.net/VoodooQueen_04.jpg?auto=format,redeye&dpr=2&w=571"
Wakefield Crowbar,Heights,3,1,3,2,3,2,3,5,4,1,3,"954 Wakefield Dr, Houston, TX 77018",(713) 686-8388,http://www.yelp.com/biz/wakefield-crowbar-houston,http://www.wakefieldcrowbar.com/,"This casual bar offers a menu of burgers, sandwiches & craft beers, plus outdoor sand volleyball",http://s3-media2.fl.yelpcdn.com/bphoto/OaShFsJNxsPN07toKEIL_g/o.jpg
Warren's Inn,Downtown,2,3,0,2,2,5,4,0,2,4,4,"307 Travis St, Houston, TX 77002",(713) 247-9207,http://www.yelp.com/biz/warrens-inn-houston,http://warrensinn.biz/,Cozy saloon with exposed brick serving old-school cocktails like martinis & draft beer,http://andrewzimmern.com/wp-content/uploads/2015/06/Warrens-Inn.jpg
Weights+Measures,Midtown,3,4,5,5,4,2,5,2,2,4,2,"2808 Caroline St, Houston, TX 77004",(713) 654-1970,http://www.yelp.com/biz/weights-measures-houston-2,http://weights-measures.com/,"Bakery in an industrial space offers bread, donuts & pastries made daily in-house",https://cdn1.vox-cdn.com/thumbor/v71YQAc4CE1PkzNPMe0MOPHRmxQ=/cdn0.vox-cdn.com/uploads/chorus_asset/file/2918616/eater_loveandsqualor.0.png
West Alabama Icehouse,Washington,4,2,4,2,2,2,3,5,5,3,4,"1919 W Alabama St, Houston, TX 77098",(713) 528-6874,http://www.yelp.com/biz/west-alabama-ice-house-houston,https://www.facebook.com/WALABAMA/?rf=186608021407587,Boisterous neighborhood bar serving beer in a dog-friendly outdoor area with picnic table seating,https://greatbarsandmusic.files.wordpress.com/2011/10/img_1206.jpg
Wood Bar,Montrose,2,3,4,1,3,1,5,0,2,3,3,"3939 Montrose Blvd, Houston, TX 77006",(713) 528-6848,http://www.yelp.com/biz/canopy-houston,http://www.shadeandcanopy.com/Woodbar/,This multitasking hangout acts as a coffee bar by day & a cocktail lounge come night,https://cdn3.vox-cdn.com/thumbor/-_4t53jpIViJpCkuqp2787AR4Rk=/0x157:796x605/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/44346588/woodbar_houston.0.0.jpg
Little Woodrow's Midtown,Midtown,4,3,2,2,1,4,2,5,5,1,4,"2306 Brazos St, Houston, TX 77006",(713) 522-1041,http://www.yelp.com/biz/little-woodrows-houston-3,http://midtown.littlewoodrows.com/,"Lively sports bar with a patio known for 50+ beers on tap & weekly turtle races, plus trivia nights",https://b.zmtcdn.com/data/pictures/7/16894167/0884bdfdce807c1d990b23061b581f50.jpg
Woosters Garden,Midtown,5,5,3,5,4,2,3,4,4,3,5,"3315 Milam St, Houston, TX 77006",(713) 520-0015,http://www.yelp.com/biz/woosters-garden-houston,http://woostersgarden.com/,"Modern setting for gourmet takes on classic bar fare, plus a variety of craft beers & cocktails",https://cdn2.vox-cdn.com/thumbor/GT3gAbjl_AHKLZy6BrPufT2v2jQ=/0x600/cdn0.vox-cdn.com/uploads/chorus_asset/file/3881238/Wooster-12.0.jpg
Hunky Dory,Heights,3,4,5,4,4,2,4,3,2,4,1,"1801 N Shepherd Dr, Houston, TX 77008",(713) 864-2450,http://www.yelp.com/biz/hunky-dory-houston,http://treadsack.com/hunkydory/,"Contemporary British?merican tavern serving elevated pub fare, cocktails & wood-fired specialties",http://www.travelandleisure.com/sites/default/files/styles/1600x1000/public/1449001252/hunky-dory-houston-hs1215.jpg?itok=TEXM07TX
Coltivare,Heights,3,4,5,3,2,3,3,3,2,4,2,"3320 White Oak Dr, Houston, TX 77007",(713) 637-4095,http://www.yelp.com/biz/coltivare-houston,http://coltivarehouston.com/,Welcoming eatery featuring wood-fired Italian pizzas & more in cozy digs with a vegetable garden,http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2014/9/4/0/FN_Houston-Coltivare_s4x3.jpg
Federal Grill,Washington,3,4,4,2,3,1,3,1,1,3,1,"510 Shepherd Dr, Houston, TX 77007",(713) 863-7777,http://www.yelp.com/biz/federal-american-grill-houston-3,http://www.thefederalgrill.com/,"Laid-back venue featuring American eats, drink flights, weekend brunch & more in dark, plush digs",http://1.bp.blogspot.com/-EKfNBGcfnuU/Vdc0TDovacI/AAAAAAAB8-c/kyoJZ_LwSNM/s1600/20150820_141136.jpg
Blue at Brenners,RiverOaks,3,3,5,5,3,1,4,5,2,3,2,"1 Birdsall St, Houston, TX 77007",(713) 868-4444,http://www.yelp.com/biz/blue-at-brenners-houston,http://www.brennerssteakhouse.com/bayou/blue-bar.asp,Elegant steakhouse & bar featuring a two-story dining room complete with foliage & waterfall,http://www.brennerssteakhouse.com/bayou/images/slide-bluebar3.jpg
The Red Lion Pub,RiverOaks,3,2,5,2,3,2,3,2,4,4,2,"2316 S Shepherd Dr, Houston, TX 77019",(713) 782-3030,http://www.yelp.com/biz/the-red-lion-houston,http://www.redlionhouston.com/,No-frills English-inspired pub serving pints & whiskies alongside classic pub grub & Indian dishes,"http://res.cloudinary.com/sagacity/image/upload/c_crop,h_514,w_640,x_0,y_245/c_scale,w_1080/v1396551505/0114-coziest_pubs-red_lion-1_zlibvq.jpg"
Velvet Melvin Pub,RiverOaks,3,1,3,2,3,2,2,3,4,3,4,"3303 Richmond Ave, Houston, TX 77098",(713) 522-6798,http://www.yelp.com/biz/velvet-melvin-pub-houston,https://www.facebook.com/Velvet-Melvin-116193328468460/,Local joint for catching the game and grabbing beers with friends,http://4.bp.blogspot.com/-kbyC4cL4AbI/VbCENOlXCbI/AAAAAAAASgc/21oR2bu_bgs/s1600/Velvet%2BMelvin%2BPub%2B3303%2BRichmond%2BAve%2BHouston%252C%2BTX%2B77098.JPG
Little Woodrow's Rice Village,Rice,4,1,2,1,1,4,2,2,3,3,4,"5611 Morningside Dr, Houston, TX 77005",(713) 521-2337,http://www.yelp.com/biz/little-woodrows-houston?osq=little+woodrow%27s+rice+village,http://ricevillage.littlewoodrows.com/,"Pub offering over 100 draft & bottle beers, game-watching, bar eats plus seasonal boiled crawfish",https://nightout.s3.amazonaws.com/media/photos/1586/original-f19793b2671094e6.JPG?1360873830
Benjy's,Rice,3,3,4,4,3,3,3,3,2,3,3,"2424 Dunstan Rd, Houston, TX 77005",(713) 522-7602,http://www.yelp.com/biz/benjys-houston-3,http://www.benjys.com/,Trendy joint serving innovative New American dishes along with a bustling happy hour & brunch,https://assets.about.me/background/users/b/e/n/benjys334_1450626695_81.jpg
Goode's Armadillo Palace,Rice,2,2,3,3,4,1,3,2,5,3,3,"5015 Kirby Dr, Houston, TX 77098",(713) 526-9700,http://www.yelp.com/biz/goodes-armadillo-palace-houston,http://www.thearmadillopalace.com/,"Expansive locale with a bar, patio & tons of Texas memorabilia, offering comfort food & live music",https://birdshooter.smugmug.com/Houston-Photography/Houston-Wacky-Advertising-Art/i-RrJZngN/0/X2/Houston_Goodes_Armadillo_on_Kirby_RAW0002-X2.jpg
Dino's Den,RiverOaks,2,2,3,2,3,2,3,2,2,3,4,"2239 Richmond Ave, Houston, TX 77098",(832) 834-6716,http://www.yelp.com/biz/dinos-den-houston,https://www.facebook.com/Dinos-Den-392321894299507/,"Hole in the wall joint for locals to grab weekly specials on food, beers, and well drinks",https://b.zmtcdn.com/data/pictures/8/18081438/672874cf813b3324c905369c23160a56_featured_v2.jpg
McGonigel's Mucky Duck,RiverOaks,4,0,1,4,3,2,2,4,3,4,3,"2425 Norfolk St, Houston, TX 77098",(713) 528-5999,http://www.yelp.com/biz/mcgonigels-mucky-duck-houston,http://mcgonigels.com/,"Modern pub/concert venue featuring diverse acts (from rock to country), beer, wine & eclectic bites",http://storage.googleapis.com/zgt-photos/0x8640c0f305fb3a19_0x4bcc2d0e889933af/80c4b2d0e7f4bbc5af0e2d9aa65f4c84.jpg
Batanga,Downtown,2,2,3,3,1,5,2,4,4,2,3,"908 Congress Ave, Houston, TX 77002",(713) 224-9500,http://www.yelp.com/biz/batanga-houston,http://batangahouston.com/,"Buzzy, industrial eatery in an 1800s saloon featuring Pan-Latin small plates, live music & a patio",http://www.venueshopping.com/wp-content/uploads/patio-restaurants-houston.jpg
Little Woodrow's EaDo,Downtown,4,2,3,2,1,3,2,3,4,2,4,"2019 Walker St, Houston, TX 77003",(713) 222-2224,http://www.yelp.com/biz/little-woodrows-houston-4,http://eado.littlewoodrows.com/,Sports bar near Downtown attractions offering a massive beer selection & indoor-outdoor seating,https://nightout.s3.amazonaws.com/media/photos/1586/original-f19793b2671094e6.JPG?1360873830
Little Woodrow's Washington,Washington,4,2,3,2,4,3,3,2,5,3,4,"720 Shepherd Dr, Houston, TX 77007",(832) 804-9941,http://www.yelp.com/biz/little-woodrows-on-shepherd-houston,http://shepherd.littlewoodrows.com/,Expansive neighborhood watering hole with plenty of TVs and seating to enjoy craft beers and sporting events with friends,https://cdn2.vox-cdn.com/thumbor/6MHnCt5nwwDjOT9J9Kd8pEGbX4s=/0x0:1024x576/1310x737/cdn0.vox-cdn.com/uploads/chorus_image/image/38919824/0628LittleWoodrows.0.jpg
Little Woodrow's Heights,Heights,4,2,3,2,2,3,3,2,3,3,4,"2631 White Oak Dr, Houston, TX 77009",(713) 861-2653,http://www.yelp.com/biz/little-woodrows-houston-5,http://heights.littlewoodrows.com/,"Outpost of a bar chain offers a selection of seasonal & craft beer, plus sports on TV & patio seats",https://b.zmtcdn.com/data/pictures/2/17772422/45c4ae752b6c361235842a4aa0bf42c4.jpg
Oak Forest Chill Icehouse,Heights,3,0,0,2,4,2,5,2,4,4,3,"3542 Oak Forest Dr, Houston, TX 77018",(713) 682-6900,http://www.yelp.com/biz/the-oak-forest-chill-neighborhood-icehouse-houston,https://www.facebook.com/pages/The-Oak-Forest-Chill/202859869820961,Garage turned into a biker friendly neighborhood watering hole,http://houstonbeerguide.com/wp-content/uploads/2015/04/IMG_2426.jpg
Lincoln Bar,Washington,2,3,3,4,1,3,3,3,4,3,3,"5110 Washington Ave, Houston, TX 77007",(713) 864-8811,http://www.yelp.com/biz/lincoln-bar-and-kitchen-houston-2,http://www.lincolnbarhouston.com/,"Modern, sports-oriented hangout with a patio offering creative cocktails & New American bites",http://photos2.meetupstatic.com/photos/event/8/0/8/9/600_442232905.jpeg
Buffalo Bayou Brewing Co,Washington,4,0,2,2,2,1,2,1,3,3,5,"5301 Nolda St, Houston, TX 77007",(713) 750-9795,http://www.yelp.com/biz/buffalo-bayou-brewing-houston,http://www.buffbrew.com/,"Old-school, familiar brewery focusing on inventive, handcrafted brews tapped during Saturday tours",https://brewstravelers365.files.wordpress.com/2014/01/dsc01040.jpg
Cezanne,Montrose,2,3,0,4,2,1,2,0,1,4,4,"4100 Montrose Blvd, Houston, TX 77006",(713) 522-9621,https://www.yelp.com/biz/cezanne-houston,http://www.cezannejazz.com/,Local jazz club hosting 2 performance sessions on Friday & Saturday nights in an intimate space,http://images1.houstonpress.com/imager/u/original/7422447/5233844.0.jpg
Canard,Heights,0,5,0,5,3,1,4,0,3,5,2,"4721 N Main St b, Houston, TX 77009",(713) 864-8424,https://www.yelp.com/biz_photos/canard-houston,http://treadsack.com/canard/,"Chic & intimate bar showcasing artful cocktails using homemade syrups, tinctures & premium liquors",https://www.localsugar.com/c/Houston/r/Canard/limage/991canard%202.jpg
Nouveau Antique Art Bar,Midtown,2,3,3,5,4,3,2,3,5,3,4,"2913 Main St, Houston, TX 77002",(713) 526-2220,https://www.yelp.com/biz/nouveau-antique-art-bar-houston,http://art-bar.net/,Spacious & romantic neighborhood pub featuring reproduction Tiffany-style lamps & period antiques,https://s3-media1.fl.yelpcdn.com/bphoto/kqp5NFJPMPwW9yfrzN4ksg/o.jpg
Kirby Ice House,River Oaks,4,4,3,4,2,2,3,5,5,3,4,"3333 Eastside St, Houston, TX 77098",(713) 524-2752,https://www.yelp.com/biz/kirby-ice-house-houston,https://www.facebook.com/kirbyicehouse/,"Sleek, expansive bar serving local beers, cocktails & wine with a big backyard & food trucks",http://media.culturemap.com/crop/11/8d/633x475/Kirby-Ice-House-backyard-rendering_110619.jpg
Agora,Montrose,3,0,3,4,2,3,4,2,3,4,4,"1712 Westheimer Rd, Houston, TX 77098",(713) 526-7212,https://www.yelp.com/biz_photos/agora-houston,http://www.agorahouston.com/,"Bi-level Greek-themed coffeehouse & bar with a quaint vibe, eclectic clientele & plush couches",http://f.tqn.com/y/houston/1/S/t/G/-/-/AgoraTheworldoffroad-7.jpg
Eight Row Flint,Heights,3,3,4,4,3,1,4,4,3,2,3,"1039 Yale St, Houston, TX 77008",(832) 767-4002,https://www.yelp.com/biz/eight-row-flint-houston,http://eightrowflint.com/,"Upscale icehouse serving rare bourbons, craft beer & margaritas, & tacos from a food truck",http://ww4.hdnux.com/photos/50/10/44/10520875/3/920x920.jpg
Harolds,Heights,4,3,5,3,3,1,4,5,4,4,3,"350 W 19th St, Houston, TX 77008",(713) 360-6204,https://www.yelp.com/biz/harolds-houston-5,http://www.haroldsheights.com/,Atmospheric New American spot serving Louisiana-accented fare above a locavore general store,http://goodeatshouston.com/wp-content/uploads/2015/10/Harolds-in-The-Heights-Good-Eats-Local-Mike-Puckett-DDM-11.jpg
Leon's Lounge,Midtown,2,3,0,3,2,3,4,2,3,4,3,"1006 McGowen St, Houston, TX 77002",(713) 650-1006,https://www.yelp.com/biz/leons-lounge-houston,https://www.facebook.com/LeonsLounge.Est.1947/,"Cozy bar with hidden alleyway seating, a large craft cocktail selection & vinyl on the turntable",http://ww1.hdnux.com/photos/31/15/50/6609444/9/920x920.jpg
Doc's Motorworks,Montrose,3,2,3,3,3,4,4,3,5,2,3,"1303 Westheimer Rd, Houston, TX 77006",(713) 521-3627,https://www.yelp.com/biz/docs-motorworks-bar-and-grill-houston,http://www.docsrestauranthoustontx.com/,"Serves pub grub, Texas beers & specialty drinks, with games & sports on the TV in a casual space",http://6d69f13dfc8526b82c55-2c99352a81311cb17699c81b11419daa.r42.cf2.rackcdn.com/784f59338a9be0797740dfbd3d7efa2d-b8c2cf9c3a2eaf795b7521cacbae7558.jpg
The New Potato,Downtown,3,4,3,3,5,1,4,5,5,5,4,"3519 Clinton Dr, Houston, TX 77020",(832) 649-5403,https://www.yelp.com/biz/the-new-potato-houston-2,https://www.facebook.com/thenewpotatohouston/,"East Downtown bar featuring a large outdoor patio for concerts, multiple bars with beers on tap, and various food trucks serving local cuisine",https://s3-media3.fl.yelpcdn.com/bphoto/XZr8XOl9xqW941aip4vyMg/o.jpg
Hops Meet Barley,RiverOaks,4,3,5,4,2,2,4,4,4,4,3,"2245 W Alabama St, Houston, TX 77098",(832) 767-5167,https://www.yelp.com/biz/hops-meet-barley-houston,https://www.facebook.com/hopsmeetbarley/,"New neighborhood hangout featuring a large rotating tap list, unique cocktails, and tasty bites best enjoyed on a cozy patio",http://images1.houstonpress.com/imager/u/745xauto/8717732/houfood_160830_hopsmeetbarley_cuclam.jpg
Black Labrador,Montrose,3,2,2,4,2,1,3,3,2,2,2,"4100 Montrose Blvd # 8, Houston, TX 77006",(713) 529-1199,https://www.yelp.com/biz/the-black-labrador-houston,http://blacklabradorpub.com/,Cozy British pub with low ceilings offers drinks & eats including fish 'n' chips & shepherd's pie,https://foodsofhouston.files.wordpress.com/2014/12/theblacklab.jpg
Continental Club,Midtown,3,2,0,3,2,3,3,5,5,3,4,"3700 Main St, Houston, TX 77002",(713) 529-9899,https://www.yelp.com/biz/the-continental-club-houston,http://continentalclub.com/houston/,"Watering hole/performance hall with occasional cover charge, funky decor & a rockabilly feel",http://images1.houstonpress.com/imager/u/745xauto/7597943/christmas-july17.jpg
Yellow Rose Distillery,Heights,1,3,1,2,4,1,5,0,4,4,4,"1224 N Post Oak Rd #100, Houston, TX 77055",(281) 886-8757,http://www.yelp.com/biz/yellow-rose-distilling-houston-2,http://yellowrosedistilling.com/,Upstart distillery serving fine whiskey variations and home made cocktails,http://texasbbqtreasurehunt.com/wp-content/uploads/2015/03/Yellow-Rose-Distilling.jpg
